open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1682961300000,28338.06380952,28349.11500000,28329.79238095,28331.90809524,0,1682961599999,0,300,0,0,0
1682961600000,28331.90809524,28331.90809524,28301.55333333,28306.93571429,0,1682961899999,0,300,0,0,0
1682961900000,28305.05952381,28305.05952381,28170.76380952,28176.87238095,0,1682962199999,0,300,0,0,0
1682962200000,28180.18595238,28221.52857143,28166.60357143,28214.66142857,0,1682962499999,0,300,0,0,0
1682962500000,28214.65666667,28270.53642857,28214.65666667,28250.74952381,0,1682962799999,0,300,0,0,0
1682962800000,28250.76619048,28319.95761905,28250.76619048,28273.98214286,0,1682963099999,0,300,0,0,0
1682963100000,28273.53690476,28310.14000000,28271.28404762,28289.67166667,0,1682963399999,0,300,0,0,0
1682963400000,28288.29166667,28301.73523810,28286.05166667,28288.87500000,0,1682963699999,0,300,0,0,0
1682963700000,28288.87261905,28288.87261905,28261.96095238,28276.51166667,0,1682963999999,0,300,0,0,0
1682964000000,28276.55357143,28283.98642857,28264.67571429,28268.19523810,0,1682964299999,0,300,0,0,0
1682964300000,28268.19214286,28292.26333333,28251.31547619,28269.03023810,0,1682964599999,0,300,0,0,0
1682964600000,28269.03095238,28272.39666667,28247.39619048,28247.64166667,0,1682964899999,0,300,0,0,0
1682964900000,28245.37714286,28245.37714286,28177.44190476,28193.54833333,0,1682965199999,0,300,0,0,0
1682965200000,28193.55452381,28229.23523810,28192.53428571,28205.30166667,0,1682965499999,0,300,0,0,0
1682965500000,28204.21142857,28220.44190476,28199.24380952,28210.95166667,0,1682965799999,0,300,0,0,0
1682965800000,28210.93738095,28210.93738095,28097.53476190,28124.41333333,0,1682966099999,0,300,0,0,0
1682966100000,28124.62690476,28165.54595238,28112.91904762,28165.54595238,0,1682966399999,0,300,0,0,0
1682966400000,28165.54595238,28165.54595238,28122.35000000,28122.35000000,0,1682966699999,0,300,0,0,0
1682966700000,28125.20571429,28157.70214286,28119.37952381,28146.74309524,0,1682966999999,0,300,0,0,0
1682967000000,28147.89309524,28170.18547619,28124.09119048,28167.81761905,0,1682967299999,0,300,0,0,0
1682967300000,28167.80333333,28195.20738095,28167.80095238,28175.19000000,0,1682967599999,0,300,0,0,0
1682967600000,28173.01380952,28188.26666667,28128.09452381,28131.31857143,0,1682967899999,0,300,0,0,0
1682967900000,28131.47880952,28159.43261905,28128.37976190,28150.55357143,0,1682968199999,0,300,0,0,0
1682968200000,28150.55190476,28153.76666667,28027.78404762,28033.68666667,0,1682968499999,0,300,0,0,0
1682968500000,28034.22714286,28047.54714286,27816.81238095,27818.97571429,0,1682968799999,0,300,0,0,0
1682968800000,27820.27690476,28013.42190476,27805.79523810,27969.66880952,0,1682969099999,0,300,0,0,0
1682969100000,27970.08785714,28026.94523810,27925.94595238,28020.94690476,0,1682969399999,0,300,0,0,0
